N;article;author;year;LINK;morphological_structure;extracted_features;extraction_techniques;classification_techniques;accuracy;Life_forms;data_set;country_of_origin
28;Fuzzy Inference System Algorithm of Plant Classification for Tea Leaf Recognition;"ARUNPRIYA C;THANAMANI A";2015;http://dx.doi.org/10.17485/ijst/2015/v8iS7/64304;Leave;Shape;Shape features;Artificial Neural Networks (ANN);92;Herbaceous;Autores;India
28;Fuzzy Inference System Algorithm of Plant Classification for Tea Leaf Recognition;"ARUNPRIYA C;THANAMANI A";2015;http://dx.doi.org/10.17485/ijst/2015/v8iS7/64304;Leave;Shape;Shape features;Fuzzy Inference System (FIS);92;Herbaceous;Autores;India
29;Plant Leaf Recognition Using Texture. Colour. and Vein Density Features;"ATHAPATHTHU S;PIUMI I U";2023;https://doi.org/10.1109/ICARC57651.2023.10145733;Leave;Color;Color characteristics;Suport Vector Machine (SVM);84.46;Trees;Base de dados pública;China
29;Plant Leaf Recognition Using Texture. Colour. and Vein Density Features;"ATHAPATHTHU S;PIUMI I U";2023;https://doi.org/10.1109/ICARC57651.2023.10145733;Leave;Texture;Gray level cooccurrence matrix (GLCM);Suport Vector Machine (SVM);84.46;Trees;Base de dados pública;China
29;Plant Leaf Recognition Using Texture. Colour. and Vein Density Features;"ATHAPATHTHU S;PIUMI I U";2023;https://doi.org/10.1109/ICARC57651.2023.10145733;Leave;Shape;Vein density;Suport Vector Machine (SVM);84.46;Trees;Base de dados pública;China
30;Identification of plant species through leaf vein morphometric and deep learning;"ATIQUE A;KARIM S;SHAHID S;ALAMGIR Z";2022;http://dx.doi.org/10.30848/PJB2022-6(38);Leave;Shape;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);95.72;Trees;Base de dados pública;Malaysia
31;Transfer Learning for Medicinal Plant Leaves Recognition: A Comparison with and without a Fine-Tuning Strategy;"AYUMI V;NOPRISSON H;JUMARYADI Y;ERMATITA E;ABDIANSAH A;PURBA M;UTAMI M;PUTRA E";2022;http://dx.doi.org/10.14569/IJACSA.2022.0130916;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);96.02;Medicinal plants;Base de dados pública;Gana
32;An AI Based Approach for Medicinal Plant Identification Using Deep CNN Based on Global Average Pooling;"AZADNIA R;AL-AMIDI M;MOHAMMADI H;CIFCI M;DARYAB A;CAVALLO E";2022;http://dx.doi.org/10.3390/agronomy12112723;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);99.3;Medicinal plants;Autores;Iran
33;Dynamic CNN Combination for Morocco Aromatic and Medicinal Plant Classification;"BAHRI A;BOURASS Y;BADI I;ZOUAKI H;EL M K;SATORI K";2022;http://dx.doi.org/10.12785/ijcds/110120;Leave;Shape;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);97.4;Medicinal plants;Autores;Morocco
33;Dynamic CNN Combination for Morocco Aromatic and Medicinal Plant Classification;"BAHRI A;BOURASS Y;BADI I;ZOUAKI H;EL M K;SATORI K";2022;http://dx.doi.org/10.12785/ijcds/110120;Leave;Shape;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);97.4;Medicinal plants;Autores;Morocco
34;Cascading Feature Filtering and Boosting Algorithm for Plant Type Classification Based on Image Features;BAKHSHIPOUR A;2021;https://doi.org/10.1109/ACCESS.2021.3086269;Whole plants;Color;Color characteristics;Artificial Neural Networks (ANN);99.58;Weeds;Autores;Iran
34;Cascading Feature Filtering and Boosting Algorithm for Plant Type Classification Based on Image Features;BAKHSHIPOUR A;2021;https://doi.org/10.1109/ACCESS.2021.3086269;Whole plants;Shape;Shape features;K-Nearest neighbour (KNN);99.58;Weeds;Autores;Iran
34;Cascading Feature Filtering and Boosting Algorithm for Plant Type Classification Based on Image Features;BAKHSHIPOUR A;2021;https://doi.org/10.1109/ACCESS.2021.3086269;Whole plants;Texture;Gray level cooccurrence matrix (GLCM);Random Forest (RF);99.58;Weeds;Autores;Iran
34;Cascading Feature Filtering and Boosting Algorithm for Plant Type Classification Based on Image Features;BAKHSHIPOUR A;2021;https://doi.org/10.1109/ACCESS.2021.3086269;Whole plants;;Gray Level Run Length Matrix (GRLLM);Suport Vector Machine (SVM);99.58;Weeds;Autores;Iran
35;Plant Leaf Identification Using HOG and Random Forest Regressor;"BAL J;RATH M;SWAIN P";2021;http://dx.doi.org/10.1007/978-981-16-1502-3_51;Leave;Shape;Histogram of Oriented Gradients (HOG);Random Forest (RF);99;NI;Autores;India
36;Automatic Identification of Ivorian Plants from Herbarium Specimens using Deep Learning;"BALLO A;MAMADOU D;AYIKPA K;YAO K;ABLAN E;KOUAME K";2022;http://dx.doi.org/10.46338/ijetae0522_07;Multiple plant organs;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);85.8;Various;Autores;Costa do Marfim
37;MediNET: A Deep Learning Approach to Recognize Bangladeshi Ordinary Medicinal Plants Using CNN;"BHUIYAN M;ABDULLAHIL-OAPHY M;KHANAM R;ISLAM M";2021;http://dx.doi.org/10.1007/978-981-15-7394-1_35;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);84.58;Medicinal plants;Autores;Bangladesh
38;Random Forest Boosted CNN: An Empirical Technique for Plant Classification;"BANERJEE S;PAMULA R";2020;http://dx.doi.org/10.1007/978-981-15-2188-1_20;Multiple plant organs;Representations;Convolutional Neural Networks (CNN);Random Forest (RF);67;Various;Base de dados pública;Brazil
39;LeafNet: A computer vision system for automatic plant species identification;"BARRÉ P;STOVER B;MULLER K;STEINHAGE V";2017;https://doi.org/10.1016/j.ecoinf.2017.05.005;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);86.3;Trees;Base de dados pública;United States
40;Deep Learning-Based Plant-Image Classification Using a Small Training Dataset;"BATCHULUUN G;NAM S;PARK K";2022;http://dx.doi.org/10.3390/math10173091;Multiple plant organs;Representations;Generative Adversarial Network (GAN);Generative Adversarial Network (GAN);97.26;Various;Base de dados pública;Various
41;An embedded system for the automated generation of labeled plant images to enable machine learning applications in agriculture;"BECK M;LIU C;BIDINOSTI C;HENRY C;GODEE C;AJMANI M";2020;https://doi.org/10.1371/journal.pone.0243923;Whole plants;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);99.71;Weeds;Autores;Canada
42;Leaf Classification for Plant Recognition with Deep Transfer Learning;"BEIKMOHAMMADI A;FAEZ K";2018;https://doi.org/10.1109/ICSPIS.2018.8700547;Leave;Representations;Convolutional Neural Networks (CNN);Logistic Regression;99.6;Various;Base de dados pública;Various
43;SWP-LeafNET: A novel multistage approach for plant leaf identification based on deep CNN;"BEIKMOHAMMADI A;FAEZ K;MOTALLEBI A";2022;https://doi.org/10.1016/j.eswa.2022.117470;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);99.81;Various;Base de dados pública;Various
44;A comparative study on plant classification using convolutional neural networks architectures;"BERMEJO D;SOTOMAYOR A G";2022;https://doi.org/10.1109/CLEI56649.2022.9959905;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);98;Various;Base de dados pública;Various
45;Individual Tree-Crown Detection and Species Identification in Heterogeneous Forests Using Aerial RGB Imagery and Deep Learning;"BELOIU M;HEINZMANN L;REHUSH N;GESSLER A;GRIESS V";2023;https://doi.org/10.3390/rs15051463;Canopy;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);92;Trees;Autores;Suíça
46;Bark Recognition to Improve Leaf-based Classification in Didactic Tree Species Identification;"BERTRAND S;CERUTTI G;TOUGNE L";2017;http://dx.doi.org/10.5220/0006108504350442;Bark;Shape;Canny Algorithm;Suport Vector Machine (SVM);60;Trees;Base de dados pública;France
46;Bark Recognition to Improve Leaf-based Classification in Didactic Tree Species Identification;"BERTRAND S;CERUTTI G;TOUGNE L";2017;http://dx.doi.org/10.5220/0006108504350442;Bark;Texture;Wavelets Gabor;Suport Vector Machine (SVM);60;Trees;Base de dados pública;France
46;Bark Recognition to Improve Leaf-based Classification in Didactic Tree Species Identification;"BERTRAND S;CERUTTI G;TOUGNE L";2017;http://dx.doi.org/10.5220/0006108504350442;Bark;Color;Color characteristics;Suport Vector Machine (SVM);60;Trees;Base de dados pública;France
47;Classification of Plant Leaves of Western Ghats using Deep Learning;"BHAT S;DSOUZA P;SHARANYALAXMI K;SHREERAKSHA S;TEJASVINI T;ANANTH A";2021;https://doi.org/10.1109/DISCOVER52564.2021.9663698;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);93.79;Herbaceous;Autores;India
48;Wood Recognition Based on Grey-Level Co-Occurrence Matrix;"WANG B;WANG H;QI H";2010;https://doi.org/10.1109/ICCASM.2010.5619388;Wood;Texture;Gray level cooccurrence matrix (GLCM);Suport Vector Machine (SVM);91.7;Trees;Autores;China
49;Deep convolutional neural network based plant species recognition through features of leaf;BISEN D;2021;https://link.springer.com/article/10.1007/s11042-020-10038-w;Leave;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);97;Trees;Base de dados pública;Suécia
50;Some experiments in automated identification of Australian plants using convolutional neural networks;"BOSTON T;VAN D A";2019;https://mssanz.org.au/modsim2019/A1/boston.pdf;Flowers;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);88.4;Various;Base de dados pública;Australia
50;Some experiments in automated identification of Australian plants using convolutional neural networks;"BOSTON T;VAN D A";2019;https://mssanz.org.au/modsim2019/A1/boston.pdf;Whole plants;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);80.6;Various;Base de dados pública;Australia
51;Species distribution modeling based on the automated identification of citizen observations;"BOTELLA C;JOLY A;BONNET P;MONESTIEZ P;MUNOZ F";2018;https://doi.org/10.1002%2Faps3.1029;Whole plants;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);70;Various;Base de dados pública;Various
52;Decision aid system for Omani medical herb leaves recognition using computer vision and artificial intelligence;"BOUCHAHMA M;AL-BALUSHI M;AL-HOSNI S;AL W H";2019;http://dx.doi.org/10.1504/IJIDS.2019.101142;Leave;Color;Color characteristics;Suport Vector Machine (SVM);93;Medicinal plants;Autores;Oman
52;Decision aid system for Omani medical herb leaves recognition using computer vision and artificial intelligence;"BOUCHAHMA M;AL-BALUSHI M;AL-HOSNI S;AL W H";2019;http://dx.doi.org/10.1504/IJIDS.2019.101142;Leave;Shape;Shape features;Suport Vector Machine (SVM);93;Medicinal plants;Autores;Oman
52;Decision aid system for Omani medical herb leaves recognition using computer vision and artificial intelligence;"BOUCHAHMA M;AL-BALUSHI M;AL-HOSNI S;AL W H";2019;http://dx.doi.org/10.1504/IJIDS.2019.101142;Leave;Texture;Wavelets Gabor;Suport Vector Machine (SVM);93;Medicinal plants;Autores;Oman
52;Decision aid system for Omani medical herb leaves recognition using computer vision and artificial intelligence;"BOUCHAHMA M;AL-BALUSHI M;AL-HOSNI S;AL W H";2019;http://dx.doi.org/10.1504/IJIDS.2019.101142;Leave;Shape;Genetic Algorithm;Suport Vector Machine (SVM);93;Medicinal plants;Autores;Oman
53;Statistical Radial Binary Patterns (SRBP) for Bark Texture Identification;"BOUDRA S;YAHIAOUI I;BEHLOUL A";2017;http://dx.doi.org/10.1007/978-3-319-70353-4_9;Bark;Texture;Local Binary Pattern (LBP);K-Nearest neighbour (KNN);84.55;Trees;Base de dados pública;Various
54;Plant identification from bark: A texture description based on Statistical Macro Binary Pattern;"BOUDRA S;YAHIAOUI I;BEHLOUL A";2018;https://doi.org/10.1109/ICPR.2018.8545798;Bark;Texture;Local Binary Pattern (LBP);K-Nearest neighbour (KNN);84.31;Trees;Base de dados pública;Various
55;Tree trunk texture classification using multi-scale statistical macro binary patterns and CNN;"BOUDRA S;YAHIAOUI I;BEHLOUL A";2022;https://doi.org/10.1016/j.asoc.2022.108473;Bark;Texture;Local Binary Pattern (LBP);Convolutional Neural Networks (CNN);96.92;Trees;Base de dados pública;Various
56;RNN- and CNN-based weed detection for crop improvement: An overview;"JABIR B;RABHI L;FALIH N";2021;http://dx.doi.org/10.21603/2308-4057-2021-2-387-396;Whole plants;Representations;Artificial Neural Networks (ANN);Artificial Neural Networks (ANN);96.4;Weeds;Autores;Morocco
56;RNN- and CNN-based weed detection for crop improvement: An overview;"JABIR B;RABHI L;FALIH N";2021;http://dx.doi.org/10.21603/2308-4057-2021-2-387-396;Whole plants;Representations;Convolutional Neural Networks (CNN);Convolutional Neural Networks (CNN);98;Weeds;Autores;Morocco
57;Wood Species Recognition Using GLCM and Correlation;"BREMANANTH R;NITHYA B;SAIPRIYA R";2010;https://doi.org/10.1109/ARTCom.2009.10;Wood;Texture;Gray level cooccurrence matrix (GLCM);Pearson Correlation;88;Trees;Autores;India
58;Pattern recognition in trunk images based on co-occurrence descriptors: a proposal applied to tree species identification;"BRESSANE A;FRUTUOSO R J;GERMANO M A";2015;https://doi.org/10.1109/LA-CCI.2015.7435983;Bark;Texture;Gray level cooccurrence matrix (GLCM);Decision Tree (DT);94;Trees;Autores;Brazil
59;Fractal dimension applied to plant identification;"BRUNO O;DE O P R;FALVO M;DE C M";2008;https://doi.org/10.1016/j.ins.2008.01.023;Leave;Shape;Fractal Dimension;Linear Discriminant Analysis (LDA);;Trees;Base de dados pública;Brazil
